,index,Instance, Product/Description, Migrations, SumStartingInstance, DaysStartingInstance, SumMigrations, DaysMigrations, Difference
73,192,m5.12xlarge, Red Hat Enterprise Linux,50,9116.146700000003,329,5080.844899999998,329,4035.3018000000047
74,652,m5a.12xlarge, Linux/UNIX,17,8914.988599999995,396,4978.045099999947,396,3936.943500000049
75,872,r5a.24xlarge, SUSE Linux,20,17584.851399999992,396,13735.716599999925,396,3849.134800000067
76,199,r5.metal, Red Hat Enterprise Linux,32,9916.099799999998,325,6105.446400000021,325,3810.6533999999774
77,138,c5n.18xlarge, Red Hat Enterprise Linux,28,10047.112699999998,324,6245.6967000000295,324,3801.415999999969
78,767,m5.metal, Red Hat Enterprise Linux,37,9517.3537,325,5850.405300000034,325,3666.948399999965
79,32,d2.8xlarge, Red Hat Enterprise Linux,11,17238.29600000001,325,13612.40539999991,325,3625.890600000099
80,474,c5.24xlarge, Red Hat Enterprise Linux,107,12364.211899999995,318,8826.009900000003,318,3538.201999999992
81,858,r5ad.2xlarge, SUSE Linux,35,5735.8416000000025,396,2218.7501000000047,396,3517.0914999999964
82,468,c5.24xlarge, Linux/UNIX,105,11374.521900000005,318,7888.337100000007,318,3486.1847999999964
83,682,r5d.metal, Red Hat Enterprise Linux,33,9547.610699999996,325,6098.753000000017,325,3448.8576999999805
84,203,r5.metal, Windows,18,51081.50000000005,396,47642.41960000032,396,3439.080399999737
85,340,i2.8xlarge, Red Hat Enterprise Linux,16,19987.012000000006,325,16645.299000000035,325,3341.7129999999706
86,19,g2.8xlarge, Red Hat Enterprise Linux,11,10318.139999999994,325,6978.402800000029,325,3339.737199999965
87,490,r5ad.2xlarge, Red Hat Enterprise Linux,33,5057.399999999998,325,1793.9980000000169,325,3263.401999999981
88,680,c5d.18xlarge, Red Hat Enterprise Linux,47,9718.070400000004,325,6468.582200000003,325,3249.4882000000025
89,874,m5ad.24xlarge, SUSE Linux,23,16509.869599999998,396,13268.92419999989,396,3240.945400000108
90,801,m5ad.4xlarge, Red Hat Enterprise Linux,16,5447.213099999999,325,2265.422799999993,325,3181.7903000000056
91,515,z1d.metal, Windows,20,36420.80580000002,396,33249.390299999846,396,3171.4155000001697
92,810,c5.metal, Windows,14,42300.9168,309,39130.58339999968,309,3170.333400000316
93,894,r5dn.4xlarge, SUSE Linux,7,4610.311500000002,204,1453.6499000000038,204,3156.6615999999967
94,44,r5.12xlarge, Red Hat Enterprise Linux,35,7988.803400000002,325,4844.967400000023,325,3143.8359999999766
95,1026,inf1.24xlarge, SUSE Linux,11,11633.0525,150,8499.524600000002,150,3133.527899999997
96,862,r5n.24xlarge, SUSE Linux,8,8907.377700000003,204,5790.5144999999975,204,3116.863200000006
97,883,r5dn.24xlarge, SUSE Linux,8,8917.375900000003,204,5805.315599999997,204,3112.0603000000056
98,1000,r5n.16xlarge, Windows,5,20716.21499999999,204,17631.714799999998,204,3084.5001999999913
99,1024,inf1.24xlarge, Red Hat Enterprise Linux,9,11638.422499999995,150,8564.454600000015,150,3073.967899999981
100,1025,inf1.24xlarge, Linux/UNIX,9,11173.802500000005,150,8103.4746000000305,150,3070.327899999973
101,898,r5d.metal, SUSE Linux,27,12515.522999999996,396,9465.461699999982,396,3050.061300000012
102,1004,r5n.4xlarge, SUSE Linux,7,4495.848900000001,204,1451.8759000000034,204,3043.972999999997
103,66,m4.10xlarge, Red Hat Enterprise Linux,64,7189.485299999998,329,4149.582800000005,329,3039.902499999992
104,913,c5n.metal, SUSE Linux,12,10586.5216,266,7560.513600000008,266,3026.007999999992
105,836,m5n.24xlarge, SUSE Linux,7,8527.298799999999,204,5525.962899999996,204,3001.335900000003
106,833,r5a.12xlarge, SUSE Linux,29,10363.713499999998,396,7409.242400000064,396,2954.471099999935
107,768,c5.metal, SUSE Linux,61,12230.803199999997,309,9323.895299999978,309,2906.90790000002
108,414,r5.24xlarge, SUSE Linux,18,16476.694700000007,396,13570.236999999956,396,2906.45770000005
109,780,c5.9xlarge, Red Hat Enterprise Linux,120,6799.525600000001,329,3896.994099999998,329,2902.5315000000032
110,980,r5n.16xlarge, Red Hat Enterprise Linux,5,6914.055999999998,204,4017.152400000011,204,2896.9035999999865
111,500,z1d.metal, SUSE Linux,17,16520.675099999993,396,13624.862199999996,396,2895.812899999997
112,503,z1d.metal, Linux/UNIX,14,15470.325099999993,396,12574.784699999913,396,2895.540400000078
113,975,r5n.16xlarge, Linux/UNIX,5,6281.866,204,3388.4724000000124,204,2893.3935999999876
114,984,m5dn.24xlarge, Windows,7,28860.022900000004,204,25984.325999999994,204,2875.6969000000104
115,33,r4.8xlarge, Red Hat Enterprise Linux,24,6402.191600000005,329,3527.6169000000014,329,2874.574700000004
116,847,m5a.12xlarge, SUSE Linux,21,9965.4886,396,7118.029500000055,396,2847.459099999945
117,708,c5d.9xlarge, Red Hat Enterprise Linux,60,6553.2146,325,3708.506400000001,325,2844.7082
118,565,p3.2xlarge, Red Hat Enterprise Linux,64,10889.355399999991,325,8070.631300000012,325,2818.7240999999794
119,600,r3.8xlarge, Red Hat Enterprise Linux,53,6232.439800000003,329,3415.045899999997,329,2817.393900000005
120,11,f1.4xlarge, SUSE Linux,8,13052.4458,396,10300.69969999996,396,2751.746100000042
121,569,r5ad.12xlarge, Windows,25,31383.7096,396,28633.39260000025,396,2750.316999999748
122,4,f1.4xlarge, Linux/UNIX,8,12101.360299999993,396,9356.199700000063,396,2745.1605999999288
123,534,m5dn.8xlarge, Windows,17,11229.246600000004,204,8494.654900000036,204,2734.591699999968
124,226,r5.metal, Linux/UNIX,34,9129.499999999996,396,6406.2316000000465,396,2723.268399999951
125,112,r5a.12xlarge, Red Hat Enterprise Linux,17,7574.821900000003,325,4894.661000000005,325,2680.160899999998
126,969,m5dn.24xlarge, Red Hat Enterprise Linux,9,7937.545900000003,204,5269.240700000009,204,2668.3051999999925
127,963,m5dn.24xlarge, Linux/UNIX,9,7303.405899999999,204,4640.950699999994,204,2662.455200000005
128,524,r5ad.4xlarge, Windows,22,12022.237,396,9405.126000000004,396,2617.110999999997
129,618,c4.8xlarge, Red Hat Enterprise Linux,84,5914.340399999999,329,3307.1110000000044,329,2607.229399999995
130,433,r5d.12xlarge, Red Hat Enterprise Linux,19,7417.638000000003,325,4821.657900000014,325,2595.980099999989
131,389,c5.12xlarge, Red Hat Enterprise Linux,81,7336.6527000000015,318,4781.916999999999,318,2554.735700000002
132,89,g3.8xlarge, Red Hat Enterprise Linux,28,8825.072000000006,326,6274.403200000017,326,2550.668799999989
133,261,i3en.12xlarge, Windows,26,34916.0378,359,32366.70699999991,359,2549.330800000087
134,505,r5ad.4xlarge, Linux/UNIX,18,5016.942100000002,396,2481.130999999993,396,2535.811100000009
135,397,c5.12xlarge, Linux/UNIX,80,6349.3027,318,3828.8231999999907,318,2520.479500000009
136,731,m5a.16xlarge, Windows,15,28694.9022,309,26175.013799999888,309,2519.888400000113
137,101,c5n.9xlarge, Red Hat Enterprise Linux,20,6101.6114,325,3608.159599999984,325,2493.4518000000157
138,537,m5dn.8xlarge, Red Hat Enterprise Linux,17,4653.2060999999985,204,2176.0520000000033,204,2477.154099999996
139,522,m5dn.8xlarge, Linux/UNIX,16,4019.066100000002,204,1564.043199999995,204,2455.022900000007
140,824,m5dn.8xlarge, SUSE Linux,18,4608.1661,204,2155.3604000000087,204,2452.8056999999912
141,491,z1d.metal, Red Hat Enterprise Linux,11,13690.3452,325,11276.415200000005,325,2413.9299999999953
142,766,c5.metal, Red Hat Enterprise Linux,65,10640.234799999998,309,8287.821100000008,309,2352.41369999999
143,209,i3.4xlarge, Red Hat Enterprise Linux,30,6236.381700000003,329,3890.8844999999874,329,2345.497200000015
