,index,Instance, Product/Description, Migrations, Days, SumStartingInstance, SumMigrations, BidPriceStart, BidPriceMigrations, Difference
355,744,m5a.4xlarge, Red Hat Enterprise Linux,21,323,3048.0907000000075,2280.235399999993,0,0,767.8553000000142
356,374,i2.2xlarge, Red Hat Enterprise Linux,1,323,5740.355999999984,4975.284000000005,0,0,765.0719999999792
357,774,r5d.4xlarge, Red Hat Enterprise Linux,33,323,3147.9650000000124,2385.3888999999954,0,0,762.5761000000166
358,869,m5ad.2xlarge, SUSE Linux,38,400,2894.1517999999987,2136.1782000000044,73,0,757.9735999999939
359,920,c5n.2xlarge, SUSE Linux,24,406,2850.6628,2097.0330999999937,69,0,753.6297000000062
360,601,r5ad.xlarge, Linux/UNIX,16,400,1263.8062999999988,511.0131999999994,132,12,752.7930999999994
361,422,r5ad.xlarge, Windows,13,400,3026.5582999999733,2273.901099999999,121,1,752.6571999999742
362,738,c5d.4xlarge, Red Hat Enterprise Linux,40,323,2955.426400000005,2209.1742000000017,0,0,746.2522000000035
363,551,a1.4xlarge, Red Hat Enterprise Linux,1,236,1928.8432000000007,1190.635199999999,56,0,738.2080000000013
364,786,m5ad.xlarge, Windows,9,400,2885.185999999961,2151.40699999998,134,0,733.7789999999814
365,564,r5.2xlarge, SUSE Linux,58,407,2952.9490000000005,2224.8913,46,0,728.0577000000003
366,332,i2.8xlarge, Linux/UNIX,12,406,20655.691099999887,19936.223999999864,2,0,719.4671000000235
367,341,i2.8xlarge, SUSE Linux,11,406,21630.091100000158,20910.62400000019,2,0,719.4670999999652
368,111,m5.2xlarge, Linux/UNIX,67,406,1589.9843000000014,874.7296999999995,0,0,715.2546000000018
369,477,c5.2xlarge, Linux/UNIX,79,406,1487.2357999999995,774.903499999999,0,0,712.3323000000003
370,269,i3.metal, Windows,2,407,44097.445900000166,43385.548800000135,5,0,711.8971000000238
371,456,c5.2xlarge, Red Hat Enterprise Linux,79,327,2350.921200000002,1655.0362999999984,0,0,695.8849000000038
372,903,r5ad.xlarge, SUSE Linux,14,400,2274.131300000004,1579.4656000000052,125,0,694.6656999999983
373,718,r4.2xlarge, Red Hat Enterprise Linux,24,327,2364.948600000001,1682.1778000000086,0,0,682.7707999999933
374,54,m4.2xlarge, Linux/UNIX,52,407,1490.1432000000018,820.6045999999997,31,0,669.538600000002
375,724,r4.2xlarge, SUSE Linux,21,407,2700.6075999999994,2037.5190000000086,6,0,663.088599999991
376,106,m5.2xlarge, Red Hat Enterprise Linux,47,327,2367.545900000004,1730.7457000000006,0,0,636.8002000000038
377,291,m2.2xlarge, Red Hat Enterprise Linux,8,326,1486.4748000000054,854.1767999999972,52,0,632.2980000000081
378,513,r3.2xlarge, Red Hat Enterprise Linux,37,327,2297.8943999999983,1666.8360999999989,0,0,631.0582999999995
379,273,i3.metal, Linux/UNIX,2,407,15259.322299999969,14628.556799999966,13,0,630.7655000000012
380,271,i3.metal, SUSE Linux,2,407,16236.122299999855,15605.356799999863,13,0,630.7654999999942
381,719,r5dn.2xlarge, Windows,2,202,2815.302300000005,2190.002500000008,44,0,625.2997999999966
382,489,c1.xlarge, Windows,2,407,3611.773899999992,2986.5112000000245,0,0,625.2626999999675
383,90,m4.2xlarge, Red Hat Enterprise Linux,28,327,2295.9915,1678.8396000000007,0,0,617.1518999999996
384,609,c4.4xlarge, SUSE Linux,62,407,3540.594300000001,2925.478099999997,0,0,615.1162000000045
385,636,c4.2xlarge, Red Hat Enterprise Linux,129,327,2239.864800000003,1633.1395,0,0,606.725300000003
386,677,c5d.2xlarge, Linux/UNIX,22,407,1355.116299999998,755.7041999999974,0,0,599.4121000000006
387,638,r5ad.large, Linux/UNIX,13,400,863.731100000004,268.35439999999994,251,0,595.376700000004
388,876,r5d.2xlarge, SUSE Linux,6,407,2823.044399999997,2239.2379999999976,0,0,583.8063999999995
389,354,i2.xlarge, Windows,1,407,3680.9246000000103,3103.447200000013,0,0,577.4773999999978
390,579,r3.2xlarge, Linux/UNIX,51,407,1369.308300000001,798.1767000000001,0,0,571.131600000001
391,611,r5ad.large, SUSE Linux,19,400,1749.0651000000046,1178.1920000000034,157,0,570.8731000000008
392,423,z1d.2xlarge, Red Hat Enterprise Linux,7,323,3302.9948999999897,2734.853599999985,16,0,568.1413000000052
393,410,m5d.2xlarge, Linux/UNIX,43,407,1379.4677000000006,811.8857000000029,0,0,567.5819999999981
394,959,m5a.2xlarge, Linux/UNIX,28,407,1380.6853000000024,813.6327000000041,0,0,567.0525999999983
395,539,c3.4xlarge, Red Hat Enterprise Linux,5,327,3343.248000000015,2778.557900000017,0,0,564.6900999999984
