Instance, Product/Description, Days, MigrationsMin, SumStartingInstance, SumMigrations, Difference
r5a.12xlarge, Red Hat Enterprise Linux, 304, 3, 7113.957099999979, 4662.727200000008, 2451.2298999999703
m5.24xlarge, SUSE Linux, 388, 12, 16494.556499999926, 13165.424800000006, 3329.13169999992
t3a.medium, Windows, 351, 4, 250.19279999999802, 236.1528000000009, 14.039999999997121
t2.2xlarge, Red Hat Enterprise Linux, 308, 4, 2281.171200000004, 1790.879999999992, 490.29120000001194
c5n.large, Red Hat Enterprise Linux, 304, 12, 679.1111999999998, 578.7915999999993, 100.31960000000049
t2.2xlarge, SUSE Linux, 388, 3, 1975.6322999999977, 1968.5567999999948, 7.075500000002876
m5.24xlarge, Linux/UNIX, 388, 11, 15563.356499999969, 9258.803099999981, 6304.553399999988
m5.24xlarge, Red Hat Enterprise Linux, 308, 13, 16158.17280000006, 8403.171300000013, 7755.001500000048
m5.16xlarge, Windows, 288, 0, 24762.239999999896, 24762.239999999896, 0.0
c5n.large, Windows, 388, 2, 1158.4127999999935, 1036.8431999999957, 121.56959999999776
m5.16xlarge, SUSE Linux, 202, 1, 5497.632000000006, 4785.732000000003, 711.9000000000033
c5n.9xlarge, Windows, 388, 4, 20849.568000000167, 18928.474499999993, 1921.0935000001737
c5n.large, Linux/UNIX, 388, 13, 313.3392000000002, 180.2967999999993, 133.04240000000087
r4.4xlarge, Windows, 388, 1, 9380.90880000004, 8361.247199999922, 1019.6616000001177
t3a.nano, Linux/UNIX, 351, 35, 14.138200000000003, 10.184999999999935, 3.953200000000068
r5n.8xlarge, Red Hat Enterprise Linux, 183, 0, 2040.0839999999935, 2040.0839999999935, 0.0
m5.8xlarge, Red Hat Enterprise Linux, 288, 14, 3112.5353999999884, 3111.4480999999882, 1.0873000000001412
r5.16xlarge, Red Hat Enterprise Linux, 288, 0, 5521.996800000017, 5521.996800000017, 0.0
r5.8xlarge, Red Hat Enterprise Linux, 288, 12, 3318.2661999999973, 3232.4163999999946, 85.84980000000269
c5n.18xlarge, Windows, 387, 1, 41590.73519999982, 37208.282399999945, 4382.452799999875
m5.8xlarge, SUSE Linux, 202, 3, 2991.215999999999, 2635.7210000000027, 355.49499999999625
r5n.8xlarge, Linux/UNIX, 183, 0, 1469.124000000003, 1469.124000000003, 0.0
m5.4xlarge, Windows, 388, 1, 9387.427200000058, 8364.127199999924, 1023.3000000001339
c5n.2xlarge, Linux/UNIX, 387, 24, 1295.2508000000005, 768.6560000000009, 526.5947999999996
