Instance, Product/Description, Migrations, Days, SumStartingInstance, SumMigrations, BidPriceStart, BidPriceMigrations, Difference
r5a.12xlarge, Linux/UNIX, 14, 406, 8522.770500000053, 5182.405100000015, 0, 0, 3340.365400000038
c5n.metal, Linux/UNIX, 1, 264, 13576.538499999993, 5775.999299999981, 121, 0, 7800.539200000012
m5.16xlarge, Red Hat Enterprise Linux, 1, 307, 5670.779000000025, 5662.1341000000275, 0, 0, 8.644899999997506
m5.16xlarge, Linux/UNIX, 1, 307, 4712.939, 4704.294099999997, 0, 0, 8.644900000002963
c5n.metal, Red Hat Enterprise Linux, 1, 264, 14400.218500000028, 6599.679300000039, 120, 0, 7800.539199999989
c5n.xlarge, Windows, 1, 406, 2424.307199999986, 2168.3135999999913, 0, 0, 255.99359999999479
d2.2xlarge, Linux/UNIX, 0, 406, 4034.016000000023, 4034.016000000023, 0, 0, 0.0
t3a.medium, Linux/UNIX, 2, 370, 101.97479999999976, 84.51339999999976, 0, 0, 17.461399999999998
t2.large, Linux/UNIX, 3, 407, 281.90779999999995, 271.55040000000065, 0, 0, 10.357399999999302
m5.12xlarge, Red Hat Enterprise Linux, 33, 327, 9087.19920000002, 5267.573999999995, 0, 0, 3819.625200000024
c5n.xlarge, Red Hat Enterprise Linux, 6, 323, 1109.9104999999997, 763.163299999997, 0, 0, 346.74720000000275
m5.12xlarge, Linux/UNIX, 33, 407, 9424.16460000001, 5195.004299999997, 7, 0, 4229.160300000012
t3.large, SUSE Linux, 29, 406, 1155.8733000000002, 1136.3759000000032, 0, 0, 19.497399999997015
t3.micro, Red Hat Enterprise Linux, 2, 327, 510.12940000000066, 495.41040000000305, 0, 0, 14.718999999997607
i3.4xlarge, SUSE Linux, 14, 407, 5618.1002000000035, 4635.283699999998, 0, 0, 982.8165000000054
i3.4xlarge, Windows, 1, 406, 10819.737600000035, 10819.737600000035, 0, 0, 0.0
r5.metal, Red Hat Enterprise Linux, 16, 323, 9509.31119999995, 6260.484900000021, 0, 0, 3248.826299999928
r4.large, Red Hat Enterprise Linux, 9, 327, 810.0502999999973, 632.381899999999, 0, 0, 177.66839999999831
i3.8xlarge, Linux/UNIX, 22, 407, 16609.772100000075, 7384.030799999982, 0, 0, 9225.741300000092
i3en.large, Red Hat Enterprise Linux, 5, 322, 1033.0472999999945, 987.6331999999951, 13, 0, 45.414099999999394
r5.metal, Windows, 4, 406, 54137.66399999964, 49762.68770000038, 0, 0, 4374.97629999926
t3.large, Red Hat Enterprise Linux, 24, 326, 788.1290999999991, 666.6094999999987, 0, 0, 121.51960000000042
i3en.metal, Linux/UNIX, 2, 226, 49797.65830000007, 17590.212700000055, 149, 0, 32207.445600000014
