Instance, Product/Description, Region, Migrations, SumStartingInstance, DaysStartingInstance, SumMigrations, DaysMigrations, Difference
t2.medium, Red Hat Enterprise Linux, eu-west-1, 0, 24.22499999999986, 323, 24.224999999999987, 323, -1.2789769243681803e-13
t2.medium, Red Hat Enterprise Linux, eu-west-2, 0, 23.889600000000105, 316, 23.88960000000001, 316, 9.592326932761353e-14
t2.medium, Red Hat Enterprise Linux, eu-west-3, 0, 24.40760000000003, 322, 24.407600000000016, 322, 1.4210854715202004e-14
t2.medium, Red Hat Enterprise Linux, sa-east-1, 4, 27.07670000000001, 329, 27.07670000000001, 329, 0.0
t2.medium, Red Hat Enterprise Linux, us-east-1, 4, 24.00082499999993, 324, 23.94360000000001, 324, 0.05722499999992081
t2.medium, Red Hat Enterprise Linux, us-east-2, 4, 23.53656249999986, 318, 23.500645833333344, 318, 0.03591666666651605
t2.medium, Red Hat Enterprise Linux, us-west-1, 1, 17.694599999999888, 231, 24.2822, 317, -6.587600000000112
t2.medium, Red Hat Enterprise Linux, us-west-2, 5, 23.54509583333326, 318, 23.50079166666668, 318, 0.044304166666581324
m4.large, Red Hat Enterprise Linux, ap-northeast-1, 40, 29.728879166666584, 318, 29.708545833333318, 318, 0.020333333333265813
m4.large, Red Hat Enterprise Linux, ap-northeast-2, 0, 28.529999999999962, 317, 28.53000000000001, 317, -4.618527782440651e-14
m4.large, Red Hat Enterprise Linux, ap-south-1, 2, 28.148450000000004, 322, 28.147804166666663, 322, 0.0006458333333405619
m4.large, Red Hat Enterprise Linux, ap-southeast-1, 21, 29.727754166666678, 325, 29.69794583333333, 325, 0.029808333333349424
m4.large, Red Hat Enterprise Linux, ap-southeast-2, 7, 29.953624999999896, 316, 29.91817916666667, 316, 0.03544583333322748
m4.large, Red Hat Enterprise Linux, ca-central-1, 16, 28.095324999999956, 316, 28.092399999999998, 316, 0.002924999999958544
m4.large, Red Hat Enterprise Linux, eu-central-1, 13, 30.729984166666654, 323, 30.358379999999993, 323, 0.3716041666666605
m4.large, Red Hat Enterprise Linux, eu-west-1, 5, 30.89508749999998, 323, 30.497412500000006, 323, 0.3976749999999747
m4.large, Red Hat Enterprise Linux, eu-west-2, 0, 28.88240000000004, 316, 28.88239999999999, 316, 4.973799150320701e-14
m4.large, Red Hat Enterprise Linux, sa-east-1, 0, 32.78778636363621, 329, 32.78778636363637, 329, -1.6342482922482304e-13
m4.large, Red Hat Enterprise Linux, us-east-1, 16, 31.62974999999998, 325, 30.04844583333334, 325, 1.5813041666666408
m4.large, Red Hat Enterprise Linux, us-east-2, 14, 25.584937280701766, 322, 25.560087280701747, 322, 0.02485000000001847
m4.large, Red Hat Enterprise Linux, us-west-1, 1, 20.97480000000006, 231, 28.7836, 317, -7.808799999999941
m4.large, Red Hat Enterprise Linux, us-west-2, 11, 29.454629166666752, 318, 29.44948750000001, 318, 0.005141666666741429
d2.xlarge, Windows, ap-northeast-1, 0, 152.1432000000007, 396, 152.14319999999998, 396, 7.105427357601002e-13
d2.xlarge, Windows, ap-northeast-2, 0, 173.1311999999994, 396, 173.13119999999992, 396, -5.115907697472721e-13
d2.xlarge, Windows, ap-south-1, 0, 177.93678333333298, 396, 177.93678333333335, 396, -3.694822225952521e-13
d2.xlarge, Windows, ap-southeast-1, 0, 155.23199999999926, 396, 155.23200000000003, 396, -7.673861546209082e-13
d2.xlarge, Windows, ap-southeast-2, 0, 155.23199999999926, 396, 155.23200000000003, 396, -7.673861546209082e-13
d2.xlarge, Windows, ca-central-1, 0, 163.03319999999934, 396, 163.03319999999994, 396, -5.968558980384842e-13
d2.xlarge, Windows, eu-central-1, 0, 146.20320000000132, 396, 146.20320000000004, 396, 1.2789769243681803e-12
d2.xlarge, Windows, eu-north-1, 0, 155.78640000000092, 396, 155.78639999999993, 396, 9.947598300641403e-13
d2.xlarge, Windows, eu-west-1, 0, 139.19400000000005, 396, 139.19399999999996, 396, 8.526512829121202e-14
d2.xlarge, Windows, eu-west-2, 0, 164.5776000000006, 396, 164.57760000000005, 396, 5.400124791776761e-13
d2.xlarge, Windows, eu-west-3, 0, 164.5776000000006, 396, 164.57760000000005, 396, 5.400124791776761e-13
d2.xlarge, Windows, us-east-1, 0, 133.84799999999885, 396, 133.848, 396, -1.1652900866465643e-12
d2.xlarge, Windows, us-east-2, 0, 133.84799999999885, 396, 133.848, 396, -1.1652900866465643e-12
d2.xlarge, Windows, us-west-1, 3, 129.6730000000004, 310, 165.6468000000001, 396, -35.9737999999997
d2.xlarge, Windows, us-west-2, 0, 133.84799999999885, 396, 133.848, 396, -1.1652900866465643e-12
f1.16xlarge, SUSE Linux, ap-southeast-2, 1, 1770.2280000000035, 111, 3141.7560000000003, 197, -1371.5279999999968
f1.16xlarge, SUSE Linux, eu-west-1, 0, 2259.7958958333184, 396, 2259.7958958333343, 396, -1.5916157281026244e-11
f1.16xlarge, SUSE Linux, us-east-1, 4, 2403.9399999999923, 396, 1607.7600000000007, 396, 796.1799999999917
f1.16xlarge, SUSE Linux, us-west-2, 2, 2055.0880791666486, 396, 2051.6760458333342, 396, 3.4120333333144117
f1.16xlarge, Red Hat Enterprise Linux, ap-southeast-2, 1, 1773.5580000000018, 111, 3147.6660000000015, 197, -1374.1079999999997
f1.16xlarge, Red Hat Enterprise Linux, eu-west-1, 0, 1448.978000000008, 323, 1448.978000000001, 323, 7.048583938740194e-12
f1.16xlarge, Red Hat Enterprise Linux, us-east-1, 3, 3263.5683541666704, 325, 1329.250000000001, 325, 1934.3183541666695
f1.16xlarge, Red Hat Enterprise Linux, us-west-2, 0, 1300.6199999999972, 318, 1300.6200000000008, 318, -3.637978807091713e-12
g2.8xlarge, Red Hat Enterprise Linux, ap-northeast-1, 0, 382.8092000000028, 317, 382.8091999999998, 317, 3.0127011996228248e-12
g2.8xlarge, Red Hat Enterprise Linux, ap-southeast-1, 0, 432.2499999999989, 325, 432.24999999999966, 325, -7.389644451905042e-13
g2.8xlarge, Red Hat Enterprise Linux, ap-southeast-2, 0, 381.6016000000028, 316, 381.60159999999985, 316, 2.9558577807620168e-12
