Instance, Product/Description, Migrations, SumStartingInstance, DaysStartingInstance, SumMigrations, DaysMigrations, Difference
g3.4xlarge, Windows, 4, 8019.241999999997, 310, 10208.70199999999, 396, -2189.4599999999937
m4.2xlarge, SUSE Linux, 26, 1674.965, 310, 1910.9863999999977, 396, -236.0213999999978
m5.24xlarge, Windows, 12, 51002.73580000001, 396, 50422.80969999999, 396, 579.9261000000188
c5n.9xlarge, Linux/UNIX, 23, 5511.144899999998, 396, 3581.868399999982, 396, 1929.2765000000163
t3a.micro, Linux/UNIX, 13, 24.939599999999984, 372, 21.01160000000001, 372, 3.927999999999976
r5.8xlarge, SUSE Linux, 28, 4866.514900000002, 309, 3877.3870999999976, 309, 989.1278000000043
c5n.9xlarge, Red Hat Enterprise Linux, 20, 6101.6114, 325, 3608.1595999999836, 325, 2493.451800000016
t2.2xlarge, Linux/UNIX, 11, 1066.0415000000003, 396, 1049.4035999999958, 396, 16.637900000004493
t3a.micro, Red Hat Enterprise Linux, 24, 495.1088, 325, 476.46429999999725, 325, 18.644500000002722
r4.8xlarge, Linux/UNIX, 19, 3212.2090000000003, 396, 3041.972699999999, 396, 170.2363000000014
t1.micro, SUSE Linux, 6, 114.04800000000006, 396, 113.52769999999909, 396, 0.5203000000009723
m5.2xlarge, Red Hat Enterprise Linux, 61, 2374.269300000001, 329, 1676.1132999999998, 329, 698.1560000000011
t1.micro, Red Hat Enterprise Linux, 16, 494.78399999999993, 329, 480.29419999999993, 329, 14.489800000000002
t1.micro, Linux/UNIX, 5, 19.008000000000013, 396, 18.93819999999991, 396, 0.06980000000010378
t1.micro, Windows, 3, 19.008000000000013, 396, 18.960499999999907, 396, 0.04750000000010601
c5n.4xlarge, Windows, 13, 9424.875100000005, 396, 8295.966900000007, 396, 1128.908199999998
m5.2xlarge, Linux/UNIX, 76, 888.2478, 396, 833.3478999999995, 396, 54.89990000000046
r5a.12xlarge, Red Hat Enterprise Linux, 17, 7574.821900000002, 325, 4894.661000000004, 325, 2680.160899999998
m5.24xlarge, SUSE Linux, 27, 12296.0082, 310, 13014.316500000003, 396, -718.3083000000024
t3a.medium, Windows, 17, 264.59729999999985, 372, 245.617800000001, 372, 18.979499999998836
t2.2xlarge, Red Hat Enterprise Linux, 17, 2427.447600000001, 329, 1864.5483999999915, 329, 562.8992000000094
c5n.large, Red Hat Enterprise Linux, 26, 741.7869000000001, 325, 603.7353999999989, 325, 138.05150000000117
t2.2xlarge, SUSE Linux, 15, 2016.3415, 396, 1981.9645999999946, 396, 34.376900000005435
m5.24xlarge, Linux/UNIX, 22, 11063.5115, 396, 9192.90599999998, 396, 1870.6055000000197
m5.24xlarge, Red Hat Enterprise Linux, 29, 17207.404800000008, 329, 8582.986400000013, 329, 8624.418399999995
m5.16xlarge, Windows, 10, 26515.9219, 309, 26124.27639999989, 309, 391.6455000001115
c5n.large, Windows, 12, 1053.8340000000003, 396, 1044.276899999996, 396, 9.557100000004311
m5.16xlarge, SUSE Linux, 14, 6039.0042, 223, 6543.491000000019, 309, -504.4868000000188
c5n.9xlarge, Windows, 15, 21241.721000000012, 396, 19114.137499999986, 396, 2127.583500000026
c5n.large, Linux/UNIX, 24, 180.85350000000005, 396, 179.10799999999932, 396, 1.7455000000007317
r4.4xlarge, Windows, 11, 8503.559399999998, 396, 8432.121399999918, 396, 71.43800000008014
t3a.nano, Linux/UNIX, 39, 15.552800000000001, 372, 10.391499999999926, 372, 5.161300000000075
r5n.8xlarge, Red Hat Enterprise Linux, 12, 2272.9215999999988, 204, 2214.9517999999953, 204, 57.96980000000349
m5.8xlarge, Red Hat Enterprise Linux, 23, 3336.7078999999985, 309, 3293.193099999985, 309, 43.514800000013565
r5.16xlarge, Red Hat Enterprise Linux, 14, 5922.7086, 309, 5839.176500000019, 309, 83.53209999998126
r5.8xlarge, Red Hat Enterprise Linux, 25, 3490.5074999999993, 309, 3411.7173999999973, 309, 78.79010000000198
c5n.18xlarge, Windows, 12, 37970.94219999999, 396, 37533.122299999945, 396, 437.8199000000459
m5.8xlarge, SUSE Linux, 19, 3285.6377000000025, 223, 3632.104500000008, 309, -346.4668000000056
r5n.8xlarge, Linux/UNIX, 12, 1637.3516000000009, 204, 1597.4518000000032, 204, 39.89979999999764
m5.4xlarge, Windows, 12, 8495.661600000003, 396, 8403.490199999926, 396, 92.17140000007748
c5n.2xlarge, Linux/UNIX, 35, 1566.6713, 396, 785.8617000000003, 396, 780.8095999999997
r5n.8xlarge, Windows, 11, 8833.662799999998, 204, 8589.127699999986, 204, 244.53510000001188
m5.8xlarge, Linux/UNIX, 23, 2373.5379000000003, 309, 2342.893099999992, 309, 30.644800000008217
c5n.18xlarge, Red Hat Enterprise Linux, 28, 10047.112699999998, 324, 6245.696700000029, 324, 3801.4159999999692
c5d.xlarge, Windows, 15, 2109.888000000001, 396, 2074.7588999999916, 396, 35.1291000000092
m5.large, Windows, 12, 1064.3360000000007, 396, 1050.899699999997, 396, 13.436300000003712
c5n.18xlarge, Linux/UNIX, 28, 6917.788200000003, 396, 6456.846999999942, 396, 460.94120000006023
r4.4xlarge, SUSE Linux, 23, 3499.4612, 396, 3054.231500000001, 396, 445.2296999999994
m5.large, Linux/UNIX, 52, 191.73610000000002, 396, 188.9155999999994, 396, 2.820500000000635
m5.8xlarge, Windows, 11, 13271.261599999998, 309, 13097.725100000076, 309, 173.53649999992194
m5.large, SUSE Linux, 46, 1004.5411999999999, 310, 1184.7727, 396, -180.2315000000001
m5.large, Red Hat Enterprise Linux, 60, 828.5832000000003, 329, 615.5034000000012, 329, 213.07979999999907
m5.2xlarge, Windows, 11, 4251.861000000002, 396, 4201.060799999963, 396, 50.800200000038785
c5n.2xlarge, Windows, 14, 4715.675100000002, 396, 4232.176799999983, 396, 483.4983000000193
c5n.4xlarge, Linux/UNIX, 21, 2532.7267, 396, 1397.1038999999987, 396, 1135.6228000000015
m5.4xlarge, Linux/UNIX, 72, 1820.6662000000001, 396, 1764.0058000000001, 396, 56.66039999999998
c5n.4xlarge, Red Hat Enterprise Linux, 24, 3413.0802, 324, 2082.1652000000045, 324, 1330.9149999999954
m5.2xlarge, SUSE Linux, 45, 2200.2645999999995, 396, 1970.1375000000037, 396, 230.12709999999583
c5n.2xlarge, Red Hat Enterprise Linux, 30, 2260.0158999999994, 325, 1581.816699999996, 325, 678.1992000000034
t3a.micro, Windows, 14, 106.88400000000004, 372, 102.00190000000032, 372, 4.882099999999724
m5.4xlarge, SUSE Linux, 47, 3925.7016000000003, 396, 3079.6146999999987, 396, 846.0869000000016
m5.4xlarge, Red Hat Enterprise Linux, 63, 3716.2407, 329, 2443.419399999999, 329, 1272.821300000001
r5n.large, Windows, 3, 550.6598999999999, 204, 548.2042000000021, 204, 2.455699999997819
t3a.micro, SUSE Linux, 21, 715.3120000000004, 372, 676.9697000000027, 372, 38.342299999997635
r5n.large, Linux/UNIX, 4, 102.04929999999996, 204, 101.70399999999947, 204, 0.345300000000492
r5n.large, Red Hat Enterprise Linux, 4, 394.60929999999996, 204, 392.883999999999, 204, 1.7253000000009706
t2.large, SUSE Linux, 15, 1223.0543, 396, 1200.6534999999922, 396, 22.400800000007848
d2.2xlarge, Windows, 3, 6034.405, 396, 6011.394599999945, 396, 23.010400000054688
t3a.large, Windows, 15, 446.32820000000015, 372, 410.334200000003, 372, 35.99399999999713
m4.xlarge, SUSE Linux, 38, 1200.6492000000005, 310, 1429.1781999999935, 396, -228.52899999999295
d2.2xlarge, SUSE Linux, 9, 4884.541999999998, 396, 4831.51439999998, 396, 53.02760000001763
t2.large, Windows, 8, 530.3232, 396, 526.6858000000018, 396, 3.6373999999982516
d2.4xlarge, Linux/UNIX, 4, 7869.311999999994, 396, 7836.007200000042, 396, 33.30479999995259
d2.2xlarge, Red Hat Enterprise Linux, 14, 5068.647999999997, 325, 4158.873200000009, 325, 909.7747999999883
t2.large, Red Hat Enterprise Linux, 19, 822.3652000000001, 329, 678.5646000000005, 329, 143.80059999999958
m4.xlarge, Red Hat Enterprise Linux, 56, 1089.8355, 329, 768.3744999999979, 329, 321.46100000000206
d2.4xlarge, SUSE Linux, 10, 8819.712000000007, 396, 8717.405, 396, 102.30700000000616
d2.4xlarge, Windows, 3, 10739.519999999993, 396, 10702.013700000045, 396, 37.50629999994817
m4.xlarge, Linux/UNIX, 60, 411.2803, 396, 370.8500000000005, 396, 40.430299999999534
d2.4xlarge, Red Hat Enterprise Linux, 13, 9136.067999999997, 325, 7300.40940000004, 325, 1835.658599999958
m4.xlarge, Windows, 10, 2107.2240000000006, 396, 2090.6269999999913, 396, 16.597000000009302
m5.12xlarge, Windows, 12, 25536.2976, 396, 25216.858699999993, 396, 319.4389000000083
c5n.metal, Windows, 11, 34702.03639999998, 266, 26597.102099999964, 266, 8104.934300000019
