,start,end,instance
234,2020-11-08 20:28:55.674163+00:00,2020-11-09 12:28:56.314909+00:00,r5d.4xlarge
235,2020-11-08 20:29:16.729080+00:00,2020-11-09 12:29:08.307880+00:00,m5d.xlarge
236,2020-11-08 20:29:35.785040+00:00,2020-11-09 12:29:20.091396+00:00,r5.xlarge
237,2020-11-08 20:30:01.170635+00:00,2020-11-09 12:29:38.391331+00:00,r5n.xlarge
238,2020-11-08 20:30:15.073767+00:00,2020-11-09 12:29:49.948712+00:00,a1.large
239,2020-11-08 20:30:26.025783+00:00,2020-11-09 12:30:00.750564+00:00,i3en.2xlarge
240,2020-11-08 20:30:44.001441+00:00,2020-11-09 12:30:12.835877+00:00,c5n.18xlarge
241,2020-11-08 20:31:05.009538+00:00,2020-11-09 12:30:23.906003+00:00,p3.2xlarge
242,2020-11-08 20:31:18.530976+00:00,2020-11-09 12:30:34.172588+00:00,m5ad.xlarge
243,2020-11-08 20:31:32.983731+00:00,2020-11-09 12:30:45.895398+00:00,c5.large
244,2020-11-08 20:40:21.795494+00:00,2020-11-09 12:30:57.603935+00:00,r5.large
245,2020-11-08 20:51:17.379779+00:00,2020-11-09 12:31:09.375414+00:00,m5.2xlarge
246,2020-11-08 21:17:37.839549+00:00,2020-11-09 12:31:22.061133+00:00,m5a.4xlarge
247,2020-11-08 21:36:45.682429+00:00,2020-11-09 12:31:33.388821+00:00,p3.16xlarge
248,2020-11-08 21:41:01.528607+00:00,2020-11-09 12:31:43.824869+00:00,t3a.micro
249,2020-11-08 21:45:36.944306+00:00,2020-11-09 12:31:54.738367+00:00,x1e.xlarge
250,2020-11-08 21:47:58.096914+00:00,2020-11-09 12:32:05.170466+00:00,m5.16xlarge
251,2020-11-08 22:04:53.547356+00:00,2020-11-09 12:32:17.895397+00:00,m5ad.8xlarge
252,2020-11-08 22:10:05.312999+00:00,2020-11-09 12:32:28.873950+00:00,r5a.24xlarge
253,2020-11-08 22:18:53.500848+00:00,2020-11-09 12:32:39.735578+00:00,i3.4xlarge
254,2020-11-08 22:31:32.935758+00:00,2020-11-09 12:32:50.950166+00:00,c5.4xlarge
255,2020-11-08 22:55:18.522530+00:00,2020-11-09 12:33:02.226645+00:00,c5d.4xlarge
256,2020-11-08 23:21:09.190883+00:00,2020-11-09 12:33:14.224020+00:00,g3s.xlarge
257,2020-11-08 23:22:46.729170+00:00,2020-11-09 12:33:24.225389+00:00,m5d.24xlarge
258,2020-11-08 23:35:50.748344+00:00,2020-11-09 12:33:35.494593+00:00,c5n.9xlarge
259,2020-11-08 23:52:31.040182+00:00,2020-11-09 12:33:46.484326+00:00,c5.24xlarge
